#,Team,R,RA,W,L
1,ARI,95,95,11,10
2,ATL,185,219,25,25
3,BAL,61,71,6,11
4,BOS,241,192,29,19
5,CHC,134,152,19,20
6,CHW,29,43,2,5
7,CIN,24,30,2,6
8,CLE,107,131,16,17
9,COL,12,25,1,4
10,DET,87,88,12,15
11,HOU,470,414,62,41
12,KCR,159,122,22,9
13,LAA,6,15,0,3
14,LAD,438,403,53,50
15,MIA,14,30,2,5
16,MIL,53,59,7,12
17,MIN,31,59,3,9
18,NYM,70,72,9,9
19,NYY,215,203,24,30
20,OAK,71,99,7,13
21,PHI,136,88,19,11
22,PIT,21,35,3,5
23,SDP,78,84,8,10
24,SEA,23,22,2,3
25,SFG,166,134,27,16
26,STL,216,235,25,33
27,TBR,140,167,17,22
28,TEX,127,120,15,11
29,TOR,100,111,10,16
30,WSN,147,138,19,17
